event_id,interview_id,impd,date,month,year,anghrs,pref_genus,catch_type,catch_rate
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,total,1.75
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,target,1.25
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,total,2.5
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,target,1.8333333333333333
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,total,0.7
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,target,0.6
88914,13396,CGSB,1999-03-01,3,1999,6,Sander,total,1.1666666666666667
88914,13396,CGSB,1999-03-01,3,1999,6,Sander,target,1.1666666666666667
88914,13397,CGSB,1999-03-01,3,1999,12,Sander,total,0.9166666666666666
88914,13397,CGSB,1999-03-01,3,1999,12,Sander,target,0.75
88914,13398,CGSB,1999-03-01,3,1999,8,Sander,total,1.75
88914,13398,CGSB,1999-03-01,3,1999,8,Sander,target,0.5
88914,13399,CGSB,1999-03-01,3,1999,4,Sander,total,2.75
88914,13399,CGSB,1999-03-01,3,1999,4,Sander,target,1
88914,13400,CGSB,1999-03-01,3,1999,4.5,Sander,total,1.5555555555555556
88914,13400,CGSB,1999-03-01,3,1999,4.5,Sander,target,0.2222222222222222
88914,13401,CGSB,1999-03-01,3,1999,8,Sander,total,1.25
88914,13401,CGSB,1999-03-01,3,1999,8,Sander,target,0.5
88914,13402,CGSB,1999-03-01,3,1999,3,Sander,total,2.6666666666666665
88914,13402,CGSB,1999-03-01,3,1999,3,Sander,target,0.6666666666666666
88915,13403,CGSB,1999-04-01,4,1999,8,Sander,total,1.125
88915,13403,CGSB,1999-04-01,4,1999,8,Sander,target,0.125
88915,13404,CGSB,1999-04-01,4,1999,1,Pomoxis,total,2
88915,13404,CGSB,1999-04-01,4,1999,1,Pomoxis,target,1
88915,13405,CGSB,1999-04-01,4,1999,1.5,Pomoxis,total,4.666666666666667
88915,13405,CGSB,1999-04-01,4,1999,1.5,Pomoxis,target,4.666666666666667
88915,13406,CGSB,1999-04-01,4,1999,10,Pomoxis,total,1.1
88915,13406,CGSB,1999-04-01,4,1999,10,Pomoxis,target,1.1
88915,13407,CGSB,1999-04-01,4,1999,1.5,Pomoxis,total,1.3333333333333333
88915,13407,CGSB,1999-04-01,4,1999,1.5,Pomoxis,target,1.3333333333333333
88915,13408,CGSB,1999-04-01,4,1999,2,Sander,total,0.5
88915,13408,CGSB,1999-04-01,4,1999,2,Sander,target,0.5
88915,13409,CGSB,1999-04-01,4,1999,2,Pomoxis,total,1.5
88915,13409,CGSB,1999-04-01,4,1999,2,Pomoxis,target,1.5
88915,13410,CGSB,1999-04-01,4,1999,5,Pomoxis,total,4.2
88915,13410,CGSB,1999-04-01,4,1999,5,Pomoxis,target,4.2
88915,13411,CGSB,1999-04-01,4,1999,2.5,Pomoxis,total,2.8
88915,13411,CGSB,1999-04-01,4,1999,2.5,Pomoxis,target,2.8
88915,13412,CGSB,1999-04-01,4,1999,3,Pomoxis,total,3.3333333333333335
88915,13412,CGSB,1999-04-01,4,1999,3,Pomoxis,target,0.6666666666666666
88915,13413,CGSB,1999-04-01,4,1999,7.5,Sander,total,2.933333333333333
88915,13413,CGSB,1999-04-01,4,1999,7.5,Sander,target,0.4
88915,13414,CGSB,1999-04-01,4,1999,1,Pomoxis,total,2
88915,13414,CGSB,1999-04-01,4,1999,1,Pomoxis,target,2
88916,13415,CGSB,1999-04-01,4,1999,4,Sander,total,0.25
88916,13415,CGSB,1999-04-01,4,1999,4,Sander,target,0.25
88916,13417,CGSB,1999-04-01,4,1999,1,Sander,total,1
88916,13417,CGSB,1999-04-01,4,1999,1,Sander,target,1
88916,13419,CGSB,1999-04-01,4,1999,1.5,Pomoxis,total,4
88916,13419,CGSB,1999-04-01,4,1999,1.5,Pomoxis,target,4
88916,13420,CGSB,1999-04-01,4,1999,3,Sander,total,1.6666666666666667
88916,13420,CGSB,1999-04-01,4,1999,3,Sander,target,0.3333333333333333
88916,13421,CGSB,1999-04-01,4,1999,6,Pomoxis,total,2.3333333333333335
