event_id,interview_id,impd,date,month,year,anghrs,pref_genus,genus,count,catch_rate,target
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Ameiurus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Aplodinotus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Cycleptus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Cyprinus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Dorosoma,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Hypopthalmichthys,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Ictalurus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Ictiobus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Lepisosteus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Lepomis,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Micropterus,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Minytrema,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Morone,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Nothing,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Other,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Polyodon,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Pomoxis,5,1.25,1
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Pylodictis,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Salmonidae,0,0,0
88912,13393,CGSB,1999-03-01,3,1999,4,Pomoxis,Sander,2,0.5,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Ameiurus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Aplodinotus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Cycleptus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Cyprinus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Dorosoma,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Hypopthalmichthys,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Ictalurus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Ictiobus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Lepisosteus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Lepomis,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Micropterus,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Minytrema,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Morone,4,0.6666666666666666,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Nothing,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Other,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Polyodon,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Pomoxis,11,1.8333333333333333,1
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Pylodictis,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Salmonidae,0,0,0
88913,13394,CGSB,1999-03-01,3,1999,6,Pomoxis,Sander,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Ameiurus,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Aplodinotus,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Cycleptus,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Cyprinus,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Dorosoma,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Hypopthalmichthys,0,0,0
88913,13395,CGSB,1999-03-01,3,1999,10,Pomoxis,Ictalurus,0,0,0
